"","species","population","study_areas_id","aniyr","animals_id","sex","time","total","clc0tcd0","clc1tcd1","clc0tcd1","clc1tcd0","tcd_open_abs","tcd_forest_abs","clc_open_abs","clc_forest_abs","clc0tcd0_prop","clc1tcd1_prop","clc0tcd1_prop","clc1tcd0_prop","tcd_open_prop","tcd_forest_prop","clc_open_prop","clc_forest_prop"
"11_2006midnight.2.1","roe",2,2,"11_2006",11,"f","night",128,0,124,0,4,4,124,0,128,0,0.96875,0,0.03125,0.03125,0.96875,0,1
"11_2006noon.2.3","roe",2,2,"11_2006",11,"f","day",108,0,97,0,11,11,97,0,108,0,0.898148148148148,0,0.101851851851852,0.101851851851852,0.898148148148148,0,1
"1_2006midnight.2.58685","roe",2,2,"1_2006",1,"f","night",166,127,29,5,5,132,34,132,34,0.765060240963855,0.174698795180723,0.0301204819277108,0.0301204819277108,0.795180722891566,0.204819277108434,0.795180722891566,0.204819277108434
"1_2006noon.2.58686","roe",2,2,"1_2006",1,"f","day",124,36,78,8,2,38,86,44,80,0.290322580645161,0.629032258064516,0.0645161290322581,0.0161290322580645,0.306451612903226,0.693548387096774,0.354838709677419,0.645161290322581
"12_2006midnight.2.237","roe",2,2,"12_2006",12,"m","night",142,37,84,19,2,39,103,56,86,0.26056338028169,0.591549295774648,0.133802816901408,0.0140845070422535,0.274647887323944,0.725352112676056,0.394366197183099,0.605633802816901
"12_2006noon.2.239","roe",2,2,"12_2006",12,"m","day",131,8,112,10,1,9,122,18,113,0.0610687022900763,0.854961832061069,0.0763358778625954,0.00763358778625954,0.0687022900763359,0.931297709923664,0.137404580152672,0.862595419847328
"1367_2008midnight.2.510","roe",2,2,"1367_2008",1367,"f","night",117,13,100,4,0,13,104,17,100,0.111111111111111,0.854700854700855,0.0341880341880342,0,0.111111111111111,0.888888888888889,0.145299145299145,0.854700854700855
"1367_2008noon.2.512","roe",2,2,"1367_2008",1367,"f","day",109,2,106,1,0,2,107,3,106,0.018348623853211,0.972477064220184,0.00917431192660551,0,0.018348623853211,0.981651376146789,0.0275229357798165,0.972477064220184
"1402_2010midnight.2.737","roe",2,2,"1402_2010",1402,"f","night",108,0,39,0,69,69,39,0,108,0,0.361111111111111,0,0.638888888888889,0.638888888888889,0.361111111111111,0,1
"1402_2010noon.2.736","roe",2,2,"1402_2010",1402,"f","day",103,0,100,0,3,3,100,0,103,0,0.970873786407767,0,0.029126213592233,0.029126213592233,0.970873786407767,0,1
"14_2006midnight.2.2627","roe",2,2,"14_2006",14,"f","night",167,0,51,0,116,116,51,0,167,0,0.305389221556886,0,0.694610778443114,0.694610778443114,0.305389221556886,0,1
"14_2006noon.2.2626","roe",2,2,"14_2006",14,"f","day",129,0,106,0,23,23,106,0,129,0,0.821705426356589,0,0.178294573643411,0.178294573643411,0.821705426356589,0,1
