"","aniyr_species","species","population","study_areas_id","aniyr","animals_id","sex","time","total","clc0tcd0","clc1tcd1","clc0tcd1","clc1tcd0","tcd_open_abs","tcd_forest_abs","clc_open_abs","clc_forest_abs","clc0tcd0_prop","clc1tcd1_prop","clc0tcd1_prop","clc1tcd0_prop","tcd_open_prop","tcd_forest_prop","clc_open_prop","clc_forest_prop","yearx"
"9","1402_2010_roe","roe",2,2,"1402_2010",1402,"f","night",108,0,39,0,69,69,39,0,108,0,0.361111111111111,0,0.638888888888889,0.638888888888889,0.361111111111111,0,1,"2010"
"10","1402_2010_roe","roe",2,2,"1402_2010",1402,"f","day",103,0,100,0,3,3,100,0,103,0,0.970873786407767,0,0.029126213592233,0.029126213592233,0.970873786407767,0,1,"2010"
"11","14_2006_roe","roe",2,2,"14_2006",14,"f","night",167,0,51,0,116,116,51,0,167,0,0.305389221556886,0,0.694610778443114,0.694610778443114,0.305389221556886,0,1,"2006"
"12","14_2006_roe","roe",2,2,"14_2006",14,"f","day",129,0,106,0,23,23,106,0,129,0,0.821705426356589,0,0.178294573643411,0.178294573643411,0.821705426356589,0,1,"2006"
"13","14_2007_roe","roe",2,2,"14_2007",14,"f","night",178,0,54,0,124,124,54,0,178,0,0.303370786516854,0,0.696629213483146,0.696629213483146,0.303370786516854,0,1,"2007"
"14","14_2007_roe","roe",2,2,"14_2007",14,"f","day",179,0,152,0,27,27,152,0,179,0,0.849162011173184,0,0.150837988826816,0.150837988826816,0.849162011173184,0,1,"2007"
"15","14_2010_roe","roe",2,2,"14_2010",14,"f","night",117,0,45,0,72,72,45,0,117,0,0.384615384615385,0,0.615384615384615,0.615384615384615,0.384615384615385,0,1,"2010"
"16","14_2010_roe","roe",2,2,"14_2010",14,"f","day",108,1,88,0,19,20,88,1,107,0.00925925925925926,0.814814814814815,0,0.175925925925926,0.185185185185185,0.814814814814815,0.00925925925925926,0.990740740740741,"2010"
"17","1429_2010_roe","roe",2,2,"1429_2010",1429,"f","night",108,0,88,20,0,0,108,20,88,0,0.814814814814815,0.185185185185185,0,0,1,0.185185185185185,0.814814814814815,"2010"
"18","1429_2010_roe","roe",2,2,"1429_2010",1429,"f","day",107,0,100,7,0,0,107,7,100,0,0.934579439252336,0.0654205607476635,0,0,1,0.0654205607476635,0.934579439252336,"2010"
"19","1453_2010_roe","roe",15,15,"1453_2010",1453,"f","night",185,159,24,0,2,161,24,159,26,0.859459459459459,0.12972972972973,0,0.0108108108108108,0.87027027027027,0.12972972972973,0.859459459459459,0.140540540540541,"2010"
"20","1453_2010_roe","roe",15,15,"1453_2010",1453,"f","day",184,124,46,0,14,138,46,124,60,0.673913043478261,0.25,0,0.0760869565217391,0.75,0.25,0.673913043478261,0.326086956521739,"2010"
"21","1454_2010_roe","roe",15,15,"1454_2010",1454,"m","night",185,182,1,0,2,184,1,182,3,0.983783783783784,0.00540540540540541,0,0.0108108108108108,0.994594594594595,0.00540540540540541,0.983783783783784,0.0162162162162162,"2010"
"22","1454_2010_roe","roe",15,15,"1454_2010",1454,"m","day",184,164,7,0,13,177,7,164,20,0.891304347826087,0.0380434782608696,0,0.0706521739130435,0.96195652173913,0.0380434782608696,0.891304347826087,0.108695652173913,"2010"
"23","1455_2010_roe","roe",15,15,"1455_2010",1455,"f","night",180,36,122,0,22,58,122,36,144,0.2,0.677777777777778,0,0.122222222222222,0.322222222222222,0.677777777777778,0.2,0.8,"2010"
"24","1455_2010_roe","roe",15,15,"1455_2010",1455,"f","day",180,2,165,0,13,15,165,2,178,0.0111111111111111,0.916666666666667,0,0.0722222222222222,0.0833333333333333,0.916666666666667,0.0111111111111111,0.988888888888889,"2010"
"25","1457_2010_roe","roe",15,15,"1457_2010",1457,"f","night",183,181,0,1,1,182,1,182,1,0.989071038251366,0,0.00546448087431694,0.00546448087431694,0.994535519125683,0.00546448087431694,0.994535519125683,0.00546448087431694,"2010"
"26","1457_2010_roe","roe",15,15,"1457_2010",1457,"f","day",183,175,3,2,3,178,5,177,6,0.956284153005464,0.0163934426229508,0.0109289617486339,0.0163934426229508,0.972677595628415,0.0273224043715847,0.967213114754098,0.0327868852459016,"2010"
"61","1728_2006_roe","roe",8,8,"1728_2006",1728,"f","night",162,100,0,62,0,100,62,162,0,0.617283950617284,0,0.382716049382716,0,0.617283950617284,0.382716049382716,1,0,"2006"
"62","1728_2006_roe","roe",8,8,"1728_2006",1728,"f","day",141,64,1,76,0,64,77,140,1,0.453900709219858,0.00709219858156028,0.539007092198582,0,0.453900709219858,0.546099290780142,0.99290780141844,0.00709219858156028,"2006"
"63","1728_2011_roe","roe",8,8,"1728_2011",1728,"f","night",182,137,0,45,0,137,45,182,0,0.752747252747253,0,0.247252747252747,0,0.752747252747253,0.247252747252747,1,0,"2011"
