"","species","population","study_areas_id","aniyr","animals_id","area","time","total","clc0tcd0","clc1tcd1","clc0tcd1","clc1tcd0","open_tcd","forest_tcd","open_clc","forest_clc","clc0tcd0_prop","clc1tcd1_prop","clc0tcd1_prop","clc1tcd0_prop","open_tcd_prop","forest_tcd_prop","open_clc_prop","forest_clc_prop"
"1.769_2005","roe","1","1","769_2005","769",67.7692708007813,"night",1695,48,1498,76,73,121,1574,124,1571,0.0283185840707965,0.883775811209439,0.0448377581120944,0.0430678466076696,0.0713864306784661,0.928613569321534,0.0731563421828909,0.926843657817109
"1.770_2005","roe","1","1","770_2005","770",54.5487213867188,"night",1365,220,567,493,85,305,1060,713,652,0.161172161172161,0.415384615384615,0.361172161172161,0.0622710622710623,0.223443223443223,0.776556776556777,0.522344322344322,0.477655677655678
"1.771_2005","roe","1","1","771_2005","771",245.202249902344,"night",6128,1365,3682,508,573,1938,4190,1873,4255,0.222748041775457,0.600848563968668,0.0828981723237598,0.0935052219321149,0.316253263707572,0.683746736292428,0.305646214099217,0.694353785900783
"1.772_2005","roe","1","1","772_2005","772",40.1177567382813,"night",1002,646,197,21,138,784,218,667,335,0.644710578842315,0.196606786427146,0.0209580838323353,0.137724550898204,0.782435129740519,0.217564870259481,0.665668662674651,0.334331337325349
"1.774_2006","roe","1","1","774_2006","774",70.5828624023437,"night",1764,909,231,575,49,958,806,1484,280,0.51530612244898,0.130952380952381,0.325963718820862,0.0277777777777778,0.543083900226757,0.456916099773243,0.841269841269841,0.158730158730159
"1.774_2007","roe","1","1","774_2007","774",43.0941685546875,"night",1078,525,122,408,23,548,530,933,145,0.487012987012987,0.11317254174397,0.37847866419295,0.0213358070500928,0.50834879406308,0.49165120593692,0.865491651205937,0.134508348794063
"1.776_2006","roe","1","1","776_2006","776",33.6961107421875,"night",844,157,285,396,6,163,681,553,291,0.186018957345972,0.337677725118483,0.469194312796209,0.00710900473933649,0.193127962085308,0.806872037914692,0.65521327014218,0.34478672985782
"1.782_2006","roe","1","1","782_2006","782",362.104366601563,"night",9044,5676,1673,1180,515,6191,2853,6856,2188,0.627598407784166,0.184984520123839,0.13047324192835,0.0569438301636444,0.684542237947811,0.315457762052189,0.758071649712517,0.241928350287483
"1.783_2006","roe","1","1","783_2006","783",46.98466640625,"night",1176,100,858,210,8,108,1068,310,866,0.0850340136054422,0.729591836734694,0.178571428571429,0.00680272108843537,0.0918367346938776,0.908163265306122,0.263605442176871,0.736394557823129
"1.784_2006","roe","1","1","784_2006","784",97.2086671875,"night",2433,677,1334,385,37,714,1719,1062,1371,0.278257295519934,0.548294286888615,0.158240854911632,0.0152075626798192,0.293464858199753,0.706535141800247,0.436498150431566,0.563501849568434
