Collar ID,Acq. Time [UTC],SCTS [UTC],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
21759,2023-11-01 22:00:39,2023-11-02 10:05:24,Iridium,36.96739,-122.08286,49,1.4,3D Validated,Nothing Detected,32,3.36,3.6,25F
21759,2023-11-01 18:00:59,2023-11-02 10:05:38,Iridium,36.97075,-122.08113,63,7.6,3D Validated,Nothing Detected,25,3.28,3.6,25F
21759,2023-11-01 14:01:09,2023-11-02 10:05:38,Iridium,36.96957,-122.07951,23,4.6,3D Validated,Nothing Detected,16,3.28,3.6,25F
21759,2023-11-01 10:00:54,2023-11-02 10:05:38,Iridium,36.97371,-122.06640,82,2.6,3D Validated,Nothing Detected,15,3.28,3.6,25F
21759,2023-11-01 06:00:37,2023-11-02 10:05:38,Iridium,36.97212,-122.06374,83,2.2,3D Validated,Nothing Detected,19,3.28,3.6,25F
21759,2023-11-01 02:00:37,2023-11-02 10:05:50,Iridium,36.96457,-122.05886,56,5,3D Validated,Nothing Detected,21,3.28,3.6,25F
21759,2023-10-31 22:00:54,2023-11-02 10:05:50,Iridium,36.96480,-122.05862,42,4.8,3D Validated,Nothing Detected,28,3.36,3.6,25F
21759,2023-10-31 18:01:38,2023-11-02 10:05:50,Iridium,36.96545,-122.06138,16,7.4,3D Validated,Nothing Detected,22,3.28,3.6,25F
21759,2023-10-31 14:01:07,2023-11-02 10:05:50,Iridium,36.97205,-122.06132,88,3,3D Validated,Nothing Detected,18,3.28,3.6,25F
21759,2023-10-31 10:00:39,2023-11-02 10:05:59,Iridium,36.97206,-122.06137,66,2,3D Validated,Nothing Detected,18,3.36,3.6,25F
21759,2023-10-31 06:00:39,2023-11-02 10:05:59,Iridium,36.98391,-122.07752,164,2.8,3D Validated,Nothing Detected,19,3.28,3.6,25F
21759,2023-10-30 22:03:00,2023-11-02 10:05:59,Iridium,36.99004,-122.07732,212,6.4,3D,Nothing Detected,31,3.28,3.6,25F
21759,2023-10-30 18:00:44,2023-11-02 10:06:10,Iridium,36.99000,-122.07742,177,2.8,3D Validated,Nothing Detected,25,3.28,3.6,25F
21759,2023-10-30 14:01:08,2023-11-02 10:06:10,Iridium,36.99136,-122.07876,207,5,3D Validated,Nothing Detected,18,3.28,3.6,25F
21759,2023-10-30 10:01:02,2023-10-30 10:05:23,Iridium,37.00312,-122.08151,269,4,3D Validated,Nothing Detected,19,3.28,3.6,25F
21759,2023-10-30 06:01:08,2023-10-30 10:05:23,Iridium,37.00309,-122.08137,277,3,3D Validated,Nothing Detected,20,3.28,3.6,25F
