"grid","county","park","id","x","y"
15,"Santa Cruz","Big Basin",1,575433.203115474,4125673.89307184
15,"Santa Cruz","Big Basin",2,575375.981042129,4126210.6479513
35,"Santa Cruz","Big Basin",3,575856.142124656,4125168.22510525
35,"Santa Cruz","Big Basin",4,575192.171483477,4125366.15447193
36,"Santa Cruz","Big Basin",5,575928.624307989,4124782.70899979
36,"Santa Cruz","Big Basin",6,575979.045005935,4124775.13265019
55,"Santa Cruz","Big Basin",7,575171.806043064,4124388.28943301
55,"Santa Cruz","Big Basin",8,575862.466314871,4124374.25395484
56,"Santa Cruz","Big Basin",9,576142.42065173,4123703.00742033
56,"Santa Cruz","Big Basin",10,576108.363997155,4124318.9447624
57,"Santa Cruz","Big Basin",11,577370.966968656,4123896.57215989
57,"Santa Cruz","Big Basin",12,577289.637650841,4123735.46424085
75,"Santa Cruz","Big Basin",13,575190.084794785,4122626.93034368
75,"Santa Cruz","Big Basin",14,575230.744250784,4122628.26141652
76,"Santa Cruz","Big Basin",15,575982.163194997,4123480.05021971
76,"Santa Cruz","Big Basin",16,575998.041263043,4123172.44165637
77,"Santa Cruz","Big Basin",17,577160.92943009,4123523.71872732
77,"Santa Cruz","Big Basin",18,576934.889926215,4123455.4872624
78,"Santa Cruz","Big Basin",19,578754.266213275,4122660.20693342
78,"Santa Cruz","Big Basin",20,578763.097250205,4122641.11389001
95,"Santa Cruz","Big Basin",21,575777.088553288,4121772.57205141
95,"Santa Cruz","Big Basin",22,575516.69425178,4121815.20749301
96,"Santa Cruz","Big Basin",23,576189.331733034,4121955.03275074
96,"Santa Cruz","Big Basin",24,576005.488473216,4122530.39865912
97,"Santa Cruz","Big Basin",25,577624.702048534,4122070.87720974
97,"Santa Cruz","Big Basin",26,577069.040380352,4122019.45350822
98,"Santa Cruz","Big Basin",27,578416.434171911,4122152.52928128
98,"Santa Cruz","Big Basin",28,578013.300943777,4121939.64367887
99,"Santa Cruz","Big Basin",29,579003.730106812,4122180.48262105
99,"Santa Cruz","Big Basin",30,579030.218899836,4122175.63232962
115,"Santa Cruz","Big Basin",31,575633.781145945,4121385.86470429
115,"Santa Cruz","Big Basin",32,575898.924921949,4120997.20924383
116,"Santa Cruz","Big Basin",33,576863.466277635,4120699.99614598
116,"Santa Cruz","Big Basin",34,576674.912641434,4121277.47886192
117,"Santa Cruz","Big Basin",35,577476.005793083,4121311.66740893
117,"Santa Cruz","Big Basin",36,577744.619613528,4121293.48203098
118,"Santa Cruz","Big Basin",37,578044.130341093,4121550.53392644
118,"Santa Cruz","Big Basin",38,577990.89869826,4121101.45194095
119,"Santa Cruz","Big Basin",39,579233.820112993,4120941.47251025
119,"Santa Cruz","Big Basin",40,578931.129092713,4120860.60576144
120,"Santa Cruz","Big Basin",41,579983.42363723,4120894.45519406
120,"Santa Cruz","Big Basin",42,579963.511540676,4120640.6780513
135,"Santa Cruz","Big Basin",43,575628.188723312,4120470.80553658
135,"Santa Cruz","Big Basin",44,575588.651539668,4120567.41555783
136,"Santa Cruz","Big Basin",45,576444.111296561,4120425.40289691
136,"Santa Cruz","Big Basin",46,576802.889428692,4120142.56747903
137,"Santa Cruz","Big Basin",47,577014.970407538,4119684.56065906
137,"Santa Cruz","Big Basin",48,577565.363224609,4120050.37460063
138,"Santa Cruz","Big Basin",49,578379.253228753,4120455.48126904
138,"Santa Cruz","Big Basin",50,578637.824231144,4119633.49749989
139,"Santa Cruz","Big Basin",51,579219.87068452,4120446.48362866
139,"Santa Cruz","Big Basin",52,579005.139503221,4119617.78338473
140,"Santa Cruz","Big Basin",53,579930.803149888,4120051.52406035
140,"Santa Cruz","Big Basin",54,580073.636649132,4119860.65018161
147,"Santa Cruz","Big Basin",55,567685.228894843,4118840.10649277
147,"Santa Cruz","Big Basin",56,567781.411001034,4118831.29369246
148,"Santa Cruz","Big Basin",57,567990.245471573,4118827.26949159
148,"Santa Cruz","Big Basin",58,568465.404116198,4118628.06922477
149,"Santa Cruz","Big Basin",59,569342.425986803,4118683.07055644
149,"Santa Cruz","Big Basin",60,569359.650467987,4118675.72199088
154,"Santa Cruz","Big Basin",61,574893.331231161,4118638.68357436
154,"Santa Cruz","Big Basin",62,574891.64349414,4118644.78471515
155,"Santa Cruz","Big Basin",63,575596.697644867,4118733.26953642
155,"Santa Cruz","Big Basin",64,575684.506466954,4119368.65085593
156,"Santa Cruz","Big Basin",65,576827.141163119,4119355.54751895
156,"Santa Cruz","Big Basin",66,575970.731338576,4119384.06292597
157,"Santa Cruz","Big Basin",67,576965.815886418,4119350.67428881
157,"Santa Cruz","Big Basin",68,577230.48780513,4119194.97292892
158,"Santa Cruz","Big Basin",69,578415.193461057,4119184.83667614
158,"Santa Cruz","Big Basin",70,578721.507885559,4118845.71037534
159,"Santa Cruz","Big Basin",71,578995.308679074,4119176.58736384
159,"Santa Cruz","Big Basin",72,579076.962263345,4118770.36388916
160,"Santa Cruz","Big Basin",73,580236.671336684,4119317.57351561
160,"Santa Cruz","Big Basin",74,580040.081372033,4119515.40670624
167,"Santa Cruz","Big Basin",75,567782.298783077,4118551.31479152
167,"Santa Cruz","Big Basin",76,567314.494511163,4117740.55033688
168,"Santa Cruz","Big Basin",77,568604.579261444,4117610.8878731
168,"Santa Cruz","Big Basin",78,568307.270158707,4117861.893729
169,"Santa Cruz","Big Basin",79,569724.900685296,4117739.58574587
169,"Santa Cruz","Big Basin",80,569183.720760814,4117925.01931527
170,"Santa Cruz","Big Basin",81,570751.707261475,4117831.98858207
170,"Santa Cruz","Big Basin",82,570179.350355801,4117663.17498748
171,"Santa Cruz","Big Basin",83,570964.444748511,4118176.33012363
171,"Santa Cruz","Big Basin",84,570946.230575233,4118210.98741406
174,"Santa Cruz","Big Basin",85,574850.737463435,4117863.04596684
174,"Santa Cruz","Big Basin",86,574718.015551784,4117810.25008232
175,"Santa Cruz","Big Basin",87,574916.661365297,4118016.78791855
175,"Santa Cruz","Big Basin",88,575589.964382432,4117997.57538016
176,"Santa Cruz","Big Basin",89,576814.522186857,4118189.74792145
